Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$130K - $150K (Employer est.),"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
WHO ARE WE LOOKING FOR?
We are looking for a Data Scientist that's a seasoned team member who thrives as an authority. You’re a pro at uncovering consumer behaviors through a variety of quantitative research methods. You love solving complex problems and can present sophisticated ideas in a way that’s easy to understand － anticipating objections while persuading others to adopt and act on a point of view.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$130K - $150K (Employer est.),"We are looking for a Data Scientist to help build a next generation shipping logistics suite. Our cloud-based SaaS platform automates the management of a carrier’s freight from origin to destination efficiently, reliably, and cost effectively. Our platform also helps carriers with broader logistics challenges related to invoicing, EDI, damage claims, vendor management, driver payroll, and equipment inventory management. We are looking for someone who is creative, technical, and fun to work with.
Find out more about us at: https://magnustech.com/
Responsibilities
Drive projects, individually or collaboratively, through the data science lifecycle including data collection, exploration/analysis, model development, validation, deployment, and production maintenance.",-1,Magnus Technology Group,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,$130K - $150K (Employer est.),"Responsibilities
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Spark,Pandas, Sklearn, NumPy and Tensorflow
Familiarity with machine learning frameworks (like Keras or PyTorch)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Masters in Computer Science, Mathematics or similar field",-1,Spanidea Systemms,"San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Data Scientist,$130K - $150K (Employer est.),"Want to come work for the company Forbes Magazine calls ""the most innovative Retailer not named Amazon?"" Data Scientists in Walmart Global Tech - Sam's Club Technology division specialize in applying machine learning and artificial intelligence to solve problems across Merchandising, Marketing, Club Operations, Finance, eCommerce, and Security. You will have the opportunity to work with a high caliber team from a variety of disciplines to build new software and radically change our business.
What you'll do...
Data Scientists in Walmart Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and causal inference.",-1,Sam's Club,"Bentonville, AR",10000+ Employees,1983,Subsidiary or Business Segment,General Merchandise & Superstores,Retail,$10+ billion (USD)
Data Scientist,$130K - $150K (Employer est.),"ThriveDX (formally HackerU) is a Global leader - on the cutting edge of digital skills training and transformation. For more than a decade, we have trained thousands of industry experts as well as governments, military, intelligence, law enforcement agencies and top tier enterprises.
Originally founded in Israel, ThriveDX brings a depth of experience and knowledge to partner with continuing education programs, preparing learners and helping them gain employment in a rapidly growing digital workforce. From top universities like University of Miami, University of Michigan, New York University and California State University we provide a turnkey solution that propels students into meaningful careers. Through these partnerships ThriveDX is working to uplift learners of all socioeconomic backgrounds to close the global digital skills gap one student at a time.
We are looking for a Data Scientist that will help us work with the information spread across a vast amount of data and help us make smarter decisions to deliver even better products & services. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated across a variety of departments and teams. You will be on the forefront of building out automation through AI/ Machine Learning techniques and help to build recommendations for the technology roadmap organizational wide.",4.5,"ThriveDX (formerly HackerU)
4.5",Florida,501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$130K - $150K (Employer est.),"Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Circle is also a principal developer of USD Coin (USDC), which has become the fastest growing dollar digital currency in the world. USDC has grown to over 40 billion in circulation and supported over $1.3 trillion in transactions in the past year. Circle's payments and treasury infrastructure services available through the Circle Account and APIs helps bridge the legacy financial system and digital currency and blockchain based finance. Circle's SeedInvest service brings internet-native fundraising and capital formation to startups and growth companies. Combined, Circle's suite of services helps companies to participate in a more open, global and inclusive financial system.
What you'll be part of:",3.6,"Circle
3.6",Florida,51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,,Unknown / Non-Applicable
Data Scientist,$130K - $150K (Employer est.),"Data Scientists - Positions located in New York and/or California
Applicants Who Live And Are Authorised To Work In The USA Only
Please note this position is not with Flipped.ai, but with one of our clients.
We are looking for top-quality graduate Data Scientists. If you are interested and have the majority of the relevant experiences/skills below, please apply.
Qualifications:
2-3 or more years professional data science experience.
Bachelor’s or higher degree in Mathematics / Statistics / Data Science / Computer related discipline.",-1,Flipped.ai,"New York, NY",-1,-1,-1,-1,-1,-1
Associate Data Scientist - JPMWM Content Optimization,$130K - $150K (Employer est.),"Do you dream in petabytes? Are you constantly identifying new ways to leverage data to solve unknown problems and answer unasked questions? Would you like to be part of a team that seeks the stories in data that illuminate big investments that will best serve and delight clients? JPMorgan Chase needs curious, passionate data scientists to drive the transformation of data into insights that identify \""aha!\"" moments and enable business breakthroughs.
The Data & Analytics team is the engine that powers JPMorgan Chase with insights to create competitive advantages for our business and deliver value for our customers. We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and data governance. Within this organization, the Decision Sciences team leverages industry-leading data-driven techniques to convert data into meaningful insights that enable the firm to drive value and an outstanding customer experience.
The industry is rapidly changing, and JPMorgan Chase is transforming our wealth management business to accelerate growth. We are looking for a talented associate to help execute our analytic strategies for the newly formed JPMorgan Wealth Management (JPMWM) business unit which includes Chase Wealth Management, JP Morgan Advisors, and Online Investing digital platforms. Reporting to the Executive Director of JPMWM Content Intelligence & Optimization, this role will be central in understanding investment customers' financial needs and their interactions with our products, services and channels.



You are a strong candidate if you:

Bonus points if you:",3.7,"JPMorgan Chase Bank, N.A.
3.7","Jersey City, NJ",Unknown,1799,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Scientist (temp),$130K - $150K (Employer est.),"U-M EEO/AA Statement
The University of Michigan is an equal opportunity/affirmative action employer.
U-M COVID-19 Vaccination Policy
COVID-19 vaccinations are now required for all University of Michigan students, faculty and staff across all three campuses, including Michigan Medicine. This includes those working or learning remotely. More information on this policy is available on the Campus Blueprint website or the U-M Dearborn and U-M Flint websites.

Job Opening ID",4.4,"University of Michigan
4.4","Ann Arbor, MI",10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
Data Scientist,$130K - $150K (Employer est.),"About Kelvin
Kelvin is a software company dedicated to unlocking the power of domain knowledge and AI to create a more efficient, safe and sustainable industrial automation industry. The Kelvin Intelligent Control Software Platform enables our customers to transform their legacy operations into self-optimizing systems using AI-driven intelligent automation applications. Our team is distributed around the world with offices in San Francisco, Colorado, Australia, and Portugal.

How we work
Kelvin embraced the remote spirit, meaning you get to create your own schedule no matter the timezone. You’ll be joining a team of engineers, spanning across Frontend, Backend, SRE and QA, data scientists, designers, product managers, project managers, operations and finance, around the globe.",3.2,"Kelvin Inc
3.2","San Francisco, CA",51 to 200 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist II,$130K - $150K (Employer est.),"Education in Data Science, Statistics, Economics, Science, Applied Science or relevant field of study
Ability to turn complex problems into simple solutions
Minimum 2+ years of relevant work experience
Domestic and international travel up to 10% may be required
Virtual location is okay for this role.

The Market Intelligence team for Workforce Staffing applies and insights to optimize the experience and operations for Amazon’s largest candidate population – Tier 1 Associates who bring the magic of Amazon’s industry-leading brand promise for customer fulfillment to life. The pace at which job creation, hiring, and growth that happens to support the scale and complexity of Amazon businesses is a problem Amazon is uniquely qualified to solve for and continually innovate on. Workforce Staffing literally hires by the hundreds of thousands across multiple business lines, job types, and shift configurations. The Market Intelligence team in particular focuses on applying labor market, candidate, and competitor intelligence to uplevel job offerings, mitigate operational risk, best position Amazon for its long-term growth. Come join a team that is continually shaping and writing the future of the hourly worker job offering landscape.

The Market Intelligence is highly capable and highly curious about blending science, economics, and operations research across internal and external sources to tell a compelling story of market risk and what we can do about it. You will wrangle across multiple sources, apply the right machine learning s, and visualize insights for senior operations and business partners. You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program capabilities.

Key Responsibilities
Inclusive Team Culture
Here at Amazon, we embrace our differences. We are committed to furthering our culture of inclusion. We have 12 affinity groups (employee resource groups) with more than 87,000 employees across hundreds of chapters around the world. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which reminds team members to seek diverse perspectives, learn and be curious, and earn trust.

Flexibility
It isn’t about which hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We offer flexibility and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
We care about your career growth too. Whether your goals are to explore new technologies, take on bigger opportunities, or get to the next level, we'll help you get there. Our business is growing fast and our people will grow with it.

The base pay range for this position in Colorado is $ 119,300 - 160,000 a year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us",3.7,"Amazon.com Services LLC
3.7",Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist II,$130K - $150K (Employer est.),"What we do
Civis Analytics, we bring objective, data-driven truth to organizational decision-making—from the boardroom to the world's largest progressive social causes.
This mission isn't an aspiration: it's something we see realized every day, and it brings purpose to everything we're working on.
We combine a sophisticated SaaS product with our specialized data science consultancy to empower tens of thousands of active users to make millions of data-driven decisions every month. From joining disparate data sources and automating reporting, to building more elaborate models of targeted audiences and optimizing messages for them, organizations like the Bill and Melinda Gates Foundation, the City of Boston, and iHeart Radio trust Civis's technology to make their most critical decisions.",3.3,"Civis Analytics
3.3",Illinois,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
"Data Scientist, Product",$130K - $150K (Employer est.),"ABOUT YOU
Are you an analytical, data-driven professional? Are you interested in a role that enables you to have direct impact on the company’s products and services, and allows you to work closely with senior leadership? If so, then Ancera is the place for you!
Join our team and help us unlock actionable insights that will enable the food industry to better assess and manage risk across the supply chain by developing innovative tools meant to empower food production in a safer and more sustainable manner.
ABOUT US
Ancera is dedicated to improving the way we feed the world by delivering new science to improve food production systems, from operations to safety.",-1,Ancera,"Atlanta, GA",-1,-1,-1,-1,-1,-1
Data Scientist,$130K - $150K (Employer est.),"Full Job Description
2 Days a week on site and 3 days remote..
JD
The ideal candidate will have the following experience:
3+ years of AWS or Azure experience to setup and scale ML models
Cloud Native ML tools to build production grade models
Experience with NLP
Python programming experience",-1,Freemind solutions,"Raleigh, NC",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Data Scientist @ Parallel Studios
Description
We are seeking a Data Scientists for a range of responsibilities within Data Science and Engineering. You will be building sophisticated tools to provide seamless quality of experience, driving growth, unlocking the power of data in the cutting edge nft gaming space, and evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools
Responsibilities
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers",-1,Parallel Studios,Remote,-1,-1,-1,-1,-1,-1
Remote Sensing Data Scientist,$63K - $112K (Glassdoor est.),"The successful candidate will use the latest innovations in remote sensing and machine learning to propose software solutions to optimize supply chain operations. The Remote Sensing Data Scientist will design and test algorithms, conduct prototyping to evaluate possible scenarios leveraging computational and statistical techniques for the development of novel approaches for remotely sensed data.

We would expect from you:
Experience:
You have

o a PhD and 5 years of academic or industrial experience or

o Masters degree and 9 years of academic or industrial experience

Nice to Have",-1,Envision,"Saint Louis, MO",51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Position Overview

Under general direction or assignment, develops high quality prediction systems integrated into existing systems and applications. Works collaboratively with a team utilizing industry knowledge, technology, data and statistical modeling to support fast-paced business decisions leading to improved outcomes. Responsible for applying data mining techniques, statistical analysis of performance metrics, applying various machine-learning tools, predictive modeling, and experimental design. Must be able to work independently on development and selection of machine learning techniques and algorithms.

Position Requirements

Education/Experience


Master's Degree in Computer Science, Computer Engineering, Industrial and Systems Engineering, Mathematics, or related field and

Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Random Forests, etc.

Proficiency in common data science toolkits, such as R, Python, and Julia

Proficiency in data visualization tools

Proficiency in simulation software such as Simio or Arena

Proficiency in using query languages such as SQL

Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Good scripting and programming skills


PhD in Computer Science, Computer Engineering, Industrial and Systems Engineering, Mathematics, or related field

Clinical Training or Experience

Lean & Six Sigma Training or Experience

Project Management Training or Experience

Experience in a Start-Up or Small Business Environment

License/Certification


Not Applicable


Not Applicable",3.4,"United Health Services
3.4","Vestal, NY",5001 to 10000 Employees,1984,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
Data Scientist,$63K - $112K (Glassdoor est.),"Data science dream job:
Sit in meetings, clean data, and build models nobody uses
Let's get real. You became a data scientist because you want a career building innovative solutions that solve hard problems. Unfortunately ... most companies are clueless about what you do.
In your ideal job:
You work with an elite engineering team.
You work on hard problems.",-1,Prolego,Georgia,-1,-1,-1,-1,-1,-1
Applied Data Scientist (Remote),$63K - $112K (Glassdoor est.),"We are Leaf

Leaf is on a mission to upend the way companies buy and sell transportation. Every year, billions of dollars, hundreds of megatons of carbon and millions of person-hours are wasted because the companies who ship goods and the companies who carry them aren’t upfront about their needs and abilities. Our platform finds ways for buyers and sellers to contract binding commitments for plannable and predictable freight and allows those contracts to be traded when needs change. In time, Leaf will become the hub through which the trillion-dollar American freight market is managed.

We are a team of experienced, smart, and mildly disagreeable troublemakers who like taking on unreasonably big challenges; we know how to build things, we’ve lived what’s broken in this industry, and we’re looking for bright, ambitious people to help us drag the transportation world kicking and screaming into the 21st century.",3.5,"Leaf Logistics
3.5","New York, NY",1 to 50 Employees,2017,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
Data Scientist - 100% Remote,$63K - $112K (Glassdoor est.),"Data Scientist:
2 full time personnel needed
US Citizenship Required
Position is 100% remote
The Data Scientist must have two or more years of hands-on experience
developing analytic rules and models using leading edge fraud analytic tools and
best practices.
The Data Scientist must have two or more years of hands-on experience of data",-1,i3its llc,Remote,-1,-1,-1,-1,-1,-1
"Scientist, Data",$63K - $112K (Glassdoor est.),"The Universities Space Research Association (USRA) has a mission to advance space-related sciences and exploration through innovative research, technology, and education programs that involve universities, governments, and the private sector for the benefit of humanity. Supporting that mission, the USRA Research Institute for Advanced Computer Science (RIACS) supports multiple NASA teams through USRA’s management of the NASA Academic Mission Services (NAMS) Program at NASA’s Ames Research Center. This includes support for projects with the NASA Aeronautics Research Institute (NARI), the NASA Aviation Systems Division, the NASA Intelligent Systems Division, and the NASA Advanced Supercomputing Division.
Position Summary:
The Data Scientist will conduct machine learning research and development to a portfolio of NASA applications with focus on aeronautics projects such as Sustainable Aviation and Advanced Air Mobility (AAM). Sustainable aviation research focuses on enabling carbon-neutral growth in aviation, and Advanced Air Mobility focuses on enabling improved operations for disaster preparedness, response and recovery (e.g., for wildfires). The Data Scientist will work under the direction of Senior Scientists, and/or Project Managers to support project deliverables. The Data Scientist may also be involved with development of proposals for new collaborations involving both academia and industry, for joint public-private initiatives to address key national challenges.",3.7,"Universities Space Research Association
3.7","Mountain View, CA",501 to 1000 Employees,1969,Nonprofit Organization,Membership Organizations,Business Services,$100 to $500 million (USD)
Data Scientist,$63K - $112K (Glassdoor est.),"About Us:
Liberty Lending is a fintech company that offers consumers a digital banking and lending platform with the mission of helping everyone make financial progress. The company was founded in 2015 by a Team that has deep experience in building customer-centric, data-driven products that make personal finance simple and intuitive. Since our founding, we have broadened our mission beyond lending and are focusing on innovating more broadly in banking and personal finance to empower consumers and give them the access and confidence to make better financial decisions. What sets us apart is our data and product capabilities, our people, our appetite for disruption and relentless focus on the consumer in a world where the choices for consumers are overwhelming. With our expanding suite of lending and banking services that will be delivered through best-in-class digital products and experiences, we are focused on helping consumers de-mystify personal finances so that can live better lives.",3.8,"Liberty Lending
3.8","New York, NY",51 to 200 Employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Location: Remote
Start Date: ASAP
Duration: 6 months
Additional Details:
40 hours of work per week
Remote or on site in Malvern (PA), Charlotte (NC), or Dallas (TX) [whatever candidate is
comfortable with]
6 months to start with possible extensions
Senior AWS Data Scientist Consultant x4",-1,PSY LLC,Remote,-1,-1,-1,-1,-1,-1
Data Scientist | $130k/yr | The Climate Corporation,$63K - $112K (Glassdoor est.),"Data Scientist | $130k/yr | The Climate Corporation
The Yield Modeling team at The Climate Corporation is looking for a highly motivated researcher with applied experience in data science and deep learning. The position is within the science R&D team that leverages modeling, big data, and cloud computing to address scientific challenges in precision agriculture. As a member of the Yield Modeling team, you will use state-of-the-art statistical, machine and deep learning models to tackle hard problems related to predicting and understanding variation in crop yield using industry-leading data sources.
What You Will Do:
Explore and munge large and diverse agronomic datasets to gain insight and build model-ready datasets
Design, prototype, and validate predictive agronomic models using machine/deep learning and statistical models",-1,The Climate Corporation,"Chicago, IL",-1,-1,-1,-1,-1,-1
Data Scientist,$63K - $112K (Glassdoor est.),"Capella is at the forefront of making vital information about our world accessible in a timely manner. We're leveraging proven technologies and building new capabilities to create a constellation of SAR satellites that can collect information about any spot on the planet within an hour.At Capella you'll workin a collaborative team environment, alongside smart people with a history of space mission success. No prior space experience is needed—we're looking for people excited about tackling seemingly impossible challenges, learning new skills and concepts, and helping each other achieve success.Our mission and our products are meant to understand the whole world and help everyone in it, regardless of race, creed, or any other distinction. We believe in a diverse and inclusive workplace, and we encourage all people to join our team and bring their unique perspective to help make us stronger.We value diversity at Capella and welcome applications from those who are traditionally underrepresented in tech. If you like the sound of this position, but are not sure if you are the perfect fit, please apply!",4.3,"Capella Space
4.3",California,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Hi
Rate: - $40/hr
Position: Data Scientist
Location : San Francisco, CA
6+ Months
Skill set: Python
Job summary:
Proven experience as a Data Scientist for at least 2 projects",-1,Osair Technologies,"San Francisco, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$63K - $112K (Glassdoor est.),"Apollo Neuro - Data Scientist - Research
Who are we?
Apollo Neuroscience is pioneering new ways to empower people to live healthier lives by addressing the root of stress and anxiety: the nervous system. Balancing and calming the nervous system is essential to building resilience to stress. Originating from research in neuroscience and psychiatry at the University of Pittsburgh, Apollo Neuro, our debut product, is the first scientifically-validated technology to improve the body’s resilience to stress. Unlike most other wearables, Apollo Neuro is not a biometric tracker, it is a wearable therapeutic that uses vibration to support the body’s recovery from stress.
Apollo Neuro’s culture is built on a deep and genuine commitment to improve access to mental health. We’re a growing start-up that’s through Series A, and our shared value is empathy. Kindness and inclusion are key, and we have a respectful and friendly company culture. Our departments function collaboratively and intimately to build rapport and support individuals.",-1,Apollo Neuroscience,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"ViacomCBS (NASDAQ: VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.

Overview
Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. ViacomCBS advanced advertising group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Data Scientist. In this role, you will need to gain a deep understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will monitor, maintain, and improve existing prediction, optimization, and simulation engines. You will also to perform root cause analyses, statistical data analyses, and other types of analyses related to platform performance. You will work closely with senior data scientists, a dedicated software engineering team, and key operational teams to validate and ensure platform performance. You will also assist with the design, prototyping, and implementation of new product innovation and methodology!

Responsibilities
Work with senior data scientists, and data engineers to deliver models and analysis that are aimed at underlying business objectives
Implement new data driven methodologies and features to improve product performance and capability
Coordinate with product management and software development to deliver new data driven capabilities for ViacomCBS’s advanced advertising group
Monitor and maintain platform health, as determined by business leadership
Brainstorm new functionality and features for future platform improvements
Contribute to existing Python data science code repositories.
Design and implement new statistical analyses that answer key business questions
Assist semi-technical users with SQL queries and other data analytics
On occasion, present your analyses to technical and semi-technical resources

Basic Qualifications
3+ years of analytical work involving extracting actionable insights from large datasets
Passion for problem-solving and the ability to find answers to difficult open-ended questions – the sort of answers that others might struggle to find
Intellectual curiosity about one’s data coupled with acute attention to detail.
Proficient at identifying the correct (data science or statistical) approaches to solve problems
Strong written and oral communication skills, including experience building a presentation about data for technical and non-technical audiences.
Proficiency working with machine learning algorithms (e.g., xgboost/lightGBM, pytorch/tensorflow, SVM, random forest, etc.), optimization techniques (e.g., linear programming and greedy optimization) and simulation methods (e.g.,
Monte Carlo analyses).
Highly proficient in Python, SQL, and Excel (advanced formulas, pivot tables)
Master’s degree or Ph.D. in a STEM field

Additional Qualifications
Comfortable with an Agile work environment.
Experience working with production data science systems that leverage prediction and optimization algorithms.
Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising.
An action-oriented, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product.

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",-1,ViacomCBS,"New York, NY",10000+ Employees,2019,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist - Experian Consumer Services Remote-West Coast,$63K - $112K (Glassdoor est.),"Company Description

Experian Consumer Services is seeking a Data Scientist to help deliver personalized financial solutions to our customers. The ideal candidate must have the ability to extract insights from data and deliver a ML project from beginning to end, including understanding business needs, training/validating ML models, and deploying ML models to applications. In addition, the candidate must be able to thrive in a complex and fast-paced environment.
About us, but we’ll be brief
Experian is the world’s leading global information services company, unlocking the power of data to create more opportunities for consumers, businesses and society. We are thrilled to share that FORTUNE has named Experian one of the 100 Best Companies to work for. In addition, for the last five years we’ve been named in the 100 “World’s Most Innovative Companies” by Forbes Magazine.",4.4,"Experian
4.4","Costa Mesa, CA",10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Senior Data Scientist (Remote Friendly),$63K - $112K (Glassdoor est.),"Mission Lane LLC is a fintech on a mission (no pun intended) to increase access to financial tools that help people thrive. We are raising the bar on fair credit access, easy money management, and convenient income discovery. Our philosophy is simple: when our customers do well, we do well. And we have only just begun.
Mission Lane's Data Science Team is looking for a Senior Data Scientist to join us.
You'll be a successful Senior Data Scientist if:
You're personally motivated to help improve the financial health of the 100 million working-class Americans who live paycheck-to-paycheck
You've created, deployed, and managed supervised learning models in production systems for vital applications",4.7,"Mission Lane
4.7",Virginia,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Data Scientist,$63K - $112K (Glassdoor est.),"Tala is a global technology company building the world’s most accessible financial services. With more than $350 million raised from visionary investors, we are serving millions of customers around the world who have been overlooked by traditional financial institutions – and our plan is to serve millions more, and have been named by the Fortune Impact 20 list, CNBC’s Disruptor 50, and Forbes’ Fintech 50 list for four years running. We are expanding across product offerings, countries and crypto and are looking for people who have an entrepreneurial spirit and are passionate about the mission.
By creating a unique platform that enables lending and other financial services around the globe, people in emerging markets are able to start and expand small businesses, manage day-to-day needs, and pursue their financial goals with confidence. Currently, more than 6 million people across Kenya, the Philippines, Mexico, and India have used Tala products. Due to our global team, we have a remote-first approach, and also have offices in Santa Monica, CA (HQ); Nairobi, Kenya; Mexico City, Mexico; Manila, the Philippines; and Bangalore, India.",4.2,"Tala
4.2",Remote,51 to 200 Employees,-1,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"DISH is a Fortune 200 company with more than $15 billion in annual revenue that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television. Now we are building the nation’s first stand-alone could-based open RAN 5G network.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.


Compensation: $64,150.00/Year - $112,700.00/Year",3.1,"DISH
3.1","Foster City, CA",10000+ Employees,1980,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
Data Scientist,$63K - $112K (Glassdoor est.),"Role: Data Scientist
Type: Contract
Location: Pearl River, NY
Required skills:
4-6 years of commercial hands-on experience as a Data Scientist solving high impact functional problems
Extensive experience with Python & software engineering fundamentals
Experience with applied statistics and quantitative modelling (e.g. regression, classification, experimentation, and machine or deep learning)
Experience with computer vision and NLP for extraction of information from structured (forms, invoices, statements, etc.) and unstructured (emails, etc.) content
Extensive experience of launching productionized machine learning models at scale",-1,FLYGEND,"Pearl River, NY",-1,-1,-1,-1,-1,-1
